Link,Username,CountFollowers,Followers,CountTweets,Tweets
https://x.com/Blockchains_FR,Blockchains_FR,41,https://x.com/LeelaTock https://x.com/Godfroy228 https://x.com/paula_neyman_ https://x.com/Pikyo346 https://x.com/remivalade https://x.com/JorEl_Crypton https://x.com/MezziMajid https://x.com/NevaVerse https://x.com/SummerJune618 https://x.com/cackowski61967 https://x.com/morel_octa91253 https://x.com/RaVillato https://x.com/Poitas_eth https://x.com/FredAidji https://x.com/PhylHargi https://x.com/GoldInBlock https://x.com/swipeverse https://x.com/PeaceKus28600 https://x.com/GaMagdal https://x.com/Astral__Whisper https://x.com/ChenitiJeremy https://x.com/Luc4s_ETHer https://x.com/MaximeAllan https://x.com/Godfaather27 https://x.com/ma_batts https://x.com/roth_edgar https://x.com/Nutymoon https://x.com/paulinho01210 https://x.com/ReelOn_Chain https://x.com/pinkie96030 https://x.com/TreidMerle https://x.com/NMbelhani https://x.com/MrBmTrader80241 https://x.com/bigup972 https://x.com/MartaWalke19191 https://x.com/SarahHo8berg https://x.com/khaledhaddad197 https://x.com/21Oop36301 https://x.com/MouniraGalai https://x.com/bLd77 https://x.com/CalebD_ETHx ,49,https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1859904819022160377 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1860586563521982712 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1858937328523178328 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861341903335174312 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861429827644846256 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1859281065283604647 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1859178176653447476 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1860980494847836315 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1859925817335369900 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1860980493166023137 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861418810839863577 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861104787648917571 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861380300741263459 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861471225152778673 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1860005253724405948 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1859868113048863217 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1859169075114455495 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1859483054051377420 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861355744798351574 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1858920665006350580 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1859540301729190269 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1859853661255729534 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1859469858896842945 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1858404781275885858 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1859206963466305551 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861723761503879437 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1860017903506161895 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861385842171797742 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1862038958923747640 https://x.com/Cosmicgirl892 https://x.com/Cosmicgirl892/status/1862000051272274277 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861471223147798686 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861408912190189623 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1860939479009112329 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1858920666671591653 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1860683998906712365 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1859698686827299027 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1859509332397674641 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1862013181297574085 https://x.com/antoinemarchain https://x.com/antoinemarchain/status/1859701805338517518 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861637890830151767 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1854941972605149494 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1857487766877028617 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1858814835217051695 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861303684807725073 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861080059622072647 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1860024825298977015 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1861062899025747979 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1858920662733385760 https://x.com/Blockchains_FR https://x.com/Blockchains_FR/status/1860927918748131757 
https://x.com/BlockchainBoyy,BlockchainBoyy,50,https://x.com/megbzk https://x.com/crypto_is_good https://x.com/blessingvictor_ https://x.com/tradetravelchil https://x.com/huangbei999 https://x.com/mcDONaldscaptl https://x.com/DeFiWizards https://x.com/Mojdaaaaa https://x.com/realsixfig https://x.com/PaulFinlay10 https://x.com/mosesibb https://x.com/AaronBremser_ https://x.com/Pufikslav https://x.com/MarkvanBalveren https://x.com/mylove1314piin https://x.com/bryanrosswins https://x.com/Oswaldo1145734 https://x.com/james19425573 https://x.com/MasonVersluis https://x.com/MaikaramaWeb3 https://x.com/10010101010ll https://x.com/Metakidddo2_ https://x.com/ExploraMkt https://x.com/sweet_fx93727 https://x.com/girleconomyai https://x.com/minshster1 https://x.com/raffayalvi https://x.com/Moore_Irish https://x.com/cryptobastardTX https://x.com/kboateng_1 https://x.com/BIDirectS13 https://x.com/TylerWh69942202 https://x.com/louisraskin https://x.com/HuaFan5181 https://x.com/EasyStevie_e https://x.com/sowmaler https://x.com/hitotsubo1975 https://x.com/itzjoshuajake https://x.com/cloud9markets https://x.com/Mxtt_Peacxck https://x.com/fan_suppor https://x.com/Jay31063943 https://x.com/rymcguiness https://x.com/DreamChase49412 https://x.com/RealPabloHeman https://x.com/PinkStarMusic https://x.com/losslessdefi https://x.com/seb_icp https://x.com/Chepreghy https://x.com/XxCryptoGhostxX ,50,https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1862149326539002148 https://x.com/0xPrit https://x.com/0xPrit/status/1861407412806136037 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1862094831457108133 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1862148007828828203 https://x.com/2025bullish https://x.com/2025bullish/status/1861847172402307212 https://x.com/_d3f4ult https://x.com/_d3f4ult/status/1862134076242628923 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1862120994413940883 https://x.com/natepetr https://x.com/natepetr/status/1862110652006805702 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861872826543706344 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861442489221005692 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1860907028836729035 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1862154142153671165 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861223566403891448 https://x.com/cryptosityclub https://x.com/cryptosityclub/status/1861561697229590904 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861200722110333339 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861432663992664408 https://x.com/dbelgrad https://x.com/dbelgrad/status/1861608937998688719 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861404483374260305 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1856236964267139500 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861003319776280804 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861914794254606474 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1862114782033146235 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1860944765950239202 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861846282429497553 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861433828562043029 https://x.com/MrTimRiggins https://x.com/MrTimRiggins/status/1861045665721172147 https://x.com/raffayalvi https://x.com/raffayalvi/status/1862137493262361048 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861898577670275553 https://x.com/SephirothEth https://x.com/SephirothEth/status/1861881188463571252 https://x.com/_d3f4ult https://x.com/_d3f4ult/status/1861124480052920677 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1862094676792127694 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861417366342566154 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861601472493822386 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1862155981511127220 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1862123812147352038 https://x.com/cripto_lenda https://x.com/cripto_lenda/status/1861790834145792163 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861435349165048224 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861407894106714337 https://x.com/gainzy222 https://x.com/gainzy222/status/1862159327173202120 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861932440186486975 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861932889299984546 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861639274908787156 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1862168469531213995 https://x.com/0x_Hank https://x.com/0x_Hank/status/1861109733517664259 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861424401515676036 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861421934635782620 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861417714931138599 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861905954268451246 https://x.com/BlockchainBoyy https://x.com/BlockchainBoyy/status/1861859913296708093 https://x.com/raffayalvi https://x.com/raffayalvi/status/1861423017387045034 
https://x.com/blockchaininfos,blockchaininfos,50,https://x.com/HinardJack65196 https://x.com/oliverj99568578 https://x.com/AngelaGree17159 https://x.com/brittany_b99291 https://x.com/JillGarret25416 https://x.com/NajibNaleye https://x.com/georgelevy https://x.com/cody_marti36338 https://x.com/CatherineW69005 https://x.com/HeidiMedin99340 https://x.com/wetnightmere https://x.com/jo_kelley70237 https://x.com/PhilipSmit61592 https://x.com/PYork47180 https://x.com/_Elsuraj https://x.com/BarnesVick37097 https://x.com/PetersonPe98385 https://x.com/ThomasD32622 https://x.com/SanchezJas43196 https://x.com/SeanSmith133318 https://x.com/StephanieJ61038 https://x.com/HilalOcean https://x.com/JaneHender24295 https://x.com/GregoryLee25526 https://x.com/JBird1765831 https://x.com/SarahGraha48525 https://x.com/johnd_oliveira https://x.com/MarcMcdona81193 https://x.com/DavidThomp64703 https://x.com/timothy_pa25485 https://x.com/LisaRios265683 https://x.com/TechCortes https://x.com/TannerRich87711 https://x.com/PeterHudso91300 https://x.com/JustinGonz42804 https://x.com/WilliamBoy54294 https://x.com/AmyAllen794122 https://x.com/PhdMiss92901 https://x.com/PerkinsRod33832 https://x.com/AlexaJacob25987 https://x.com/Venkat_222222 https://x.com/JasonMurph14138 https://x.com/MeganMccar76245 https://x.com/ArthurPere89387 https://x.com/MatthewCop52584 https://x.com/CalebRober68971 https://x.com/AndrewTurn93546 https://x.com/MeganMelto80633 https://x.com/21Oop36301 https://x.com/MariaRodri31923 ,50,https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1859682781959422167 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1851383518913286592 https://x.com/georgelevy https://x.com/georgelevy/status/1862130760397811849 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1860009991652155801 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1859733558673256741 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1845947712413278646 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1856834476229165418 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1847034885254291812 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1586879259024523264 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1843773388386419075 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1856472045451632993 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1844860549793763488 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1844135777162109098 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1846310103244263593 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1859371166583902376 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1851021161926201841 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1861183092112662680 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1858646397928522196 https://x.com/georgelevy https://x.com/georgelevy/status/1854224774827827369 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1852470686012309535 https://x.com/georgelevy https://x.com/georgelevy/status/1841852656823705945 https://x.com/georgelevy https://x.com/georgelevy/status/1859636979912278383 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1848484428890210720 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1853572967487221978 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1843411014999498831 https://x.com/georgelevy https://x.com/georgelevy/status/1860407802927165611 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1851745909140320595 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1841599066179805646 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1852108300621377882 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1856109690226389024 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1842323831060345011 https://x.com/georgelevy https://x.com/georgelevy/status/1861870325320819030 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1849209210640252944 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1849571608500789450 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1855022500863738127 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1859008787270553809 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1844498170878857557 https://x.com/georgelevy https://x.com/georgelevy/status/1861111042786435425 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1848846848263401595 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1862194837899886857 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1857196851868365106 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1841961447590420682 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1849933993325510966 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1846672487175582025 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1847397282565558353 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1853935352152490230 https://x.com/georgelevy https://x.com/georgelevy/status/1844367490337665176 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1861545478887768229 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1857559213205021171 https://x.com/blockchaininfos https://x.com/blockchaininfos/status/1860095944269689136 
